Unnamed: 0,Data
0.0,2021-06-05 00:00:00
1.0,Projet
2.0,Projet FEDER RIN TREMPLIN SCHISM
3.0,Le projet FEDER RIN TREMPLIN SCHISM (Supporting chemoinformatics via interactive unsupervised and semi-supervised data mining) a commencé le 01/01/2021 et va durer jusqu'au 31/12/2022.
4.0,https://schism.greyc.fr
,Data
0.0,2021-06-05 00:00:00
1.0,Publication
2.0,Survey publié
3.0,Un article de survey qu'Albrecht Zimmermann a écrit avec deux collègues allemands a été accepté et publié en online-first par Data Mining and Knowledge Discovery.
4.0,https://link.springer.com/article/10.1007/s10618-021-00741-z
,Data
0.0,2021-06-05 00:00:00
1.0,Projet
2.0,ANR InvolvD
3.0,"L'ANR InvolvD (Interactive constraint elicitation for unsupervised and
semi-supervised data mining) a démarré officiellement au 1er février 2021 avec un kick-off le 3 février."
4.0,https://involvd.greyc.fr
,Data
0.0,2021-06-05 00:00:00
1.0,Personnel
2.0,RIN Schism : nouvelle arrivée
3.0,Hajar KARINE a fait son arrivée comme post-doc sur le projet RIN Schism (Supporting chemoinformatics via interactive unsupervised and semi-supervised data mining).
4.0,
,Data
0.0,2021-06-05 00:00:00
1.0,Projet
2.0,Projet RHuNes
3.0,"Le projet RHuNes (Découverte de Redescriptions appliquée aux Humanités Numériques) a été accepté et est ""complété"" par un soutien du programme Maupertuis."
4.0,
,Data
0.0,2021-06-05 00:00:00
1.0,Personnel
2.0,Nouvelles arrivées
3.0,Soufia BENNAI est arrivée au 1er janvier 2021 en tant qu'ATER et fait sa recherche dans l'équipe CoDaG. L'équipe accueille aussi 4 étudiant·e·s en stage de master recherche.
4.0,
,Data
0.0,2021-06-05 00:00:00
1.0,Personnel
2.0,"Projet ""Explication pour la fouille de données"""
3.0,"Maksim Koptelov est arrivé le 1er juin 2021 pour 1 an en tant que post-doc sur le projet ""Explication pour la fouille de données"", dont le responsable scientifique est Patrice Boizumault."
4.0,
,Data
0.0,2021-06-05 00:00:00
1.0,Evènement de cohésion
2.0,Atelier accepté
3.0,"L'atelier ""Machine Learning and Data Mining for Sports Analytics"" a été accepté à la conférence ECML/PKDD."
4.0,https://dtai.cs.kuleuven.be/events/MLSA21/
